common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,species,timestamp,confidence,status,geographic_valid,temporal_valid,habitat_valid,weather_score,rejection_reason,review_notes,overall_score,ebird_frequency,gbif_occurrences
Spotted Crake,Porzana porzana,291.0,294.0,0.8483007550239563,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:42:44,Spotted Crake,2025-10-13 11:42:44,0.8483007550239563,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6696601510047913,,0
Spotted Crake,Porzana porzana,294.0,297.0,0.9773797392845154,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:42:47,Spotted Crake,2025-10-13 11:42:47,0.9773797392845154,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.695475947856903,,0
Spotted Crake,Porzana porzana,297.0,300.0,0.9735942482948304,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:42:50,Spotted Crake,2025-10-13 11:42:50,0.9735942482948304,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6947188496589661,,0
Spotted Crake,Porzana porzana,300.0,303.0,0.3823321163654327,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:42:53,Spotted Crake,2025-10-13 11:42:53,0.3823321163654327,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5764664232730865,,0
Spotted Crake,Porzana porzana,306.0,309.0,0.9139088988304138,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:42:59,Spotted Crake,2025-10-13 11:42:59,0.9139088988304138,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6827817797660828,,0
Spotted Crake,Porzana porzana,312.0,315.0,0.962605893611908,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:05,Spotted Crake,2025-10-13 11:43:05,0.962605893611908,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6925211787223816,,0
Spotted Crake,Porzana porzana,321.0,324.0,0.4216343760490417,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:14,Spotted Crake,2025-10-13 11:43:14,0.4216343760490417,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5843268752098083,,0
Spotted Crake,Porzana porzana,324.0,327.0,0.8193517923355103,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:17,Spotted Crake,2025-10-13 11:43:17,0.8193517923355103,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6638703584671021,,0
Spotted Crake,Porzana porzana,333.0,336.0,0.7333405613899231,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:26,Spotted Crake,2025-10-13 11:43:26,0.7333405613899231,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6466681122779846,,0
Spotted Crake,Porzana porzana,336.0,339.0,0.277689129114151,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:29,Spotted Crake,2025-10-13 11:43:29,0.277689129114151,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5555378258228302,,0
